,0,mean,std,min,max,median,mode,q1,q2,q3
"phi_('Power_node_41', 'Power', 'Power')",6.208486796,6.208486796,0.0,6.208486796,6.208486796,6.208486796,6.208486796,6.208486796,6.208486796,6.208486796
"alpha_('Power_node_42', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_42', 'Power', 'Power')",0.201951604,0.201951604,0.0,0.201951604,0.201951604,0.201951604,0.201951604,0.201951604,0.201951604,0.201951604
"alpha_('Power_node_43', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_43', 'Power', 'Power')",2.773539927,2.773539927,0.0,2.773539927,2.773539927,2.773539927,2.773539927,2.773539927,2.773539927,2.773539927
"alpha_('Power_node_44', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_44', 'Power', 'Power')",4.515513246,4.515513246,0.0,4.515513246,4.515513246,4.515513246,4.515513246,4.515513246,4.515513246,4.515513246
"alpha_('Power_node_45', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_45', 'Power', 'Power')",20.54463635,20.54463635,0.0,20.54463635,20.54463635,20.54463635,20.54463635,20.54463635,20.54463635,20.54463635
"alpha_('Power_node_46', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_46', 'Power', 'Power')",32.95556248,32.95556248,0.0,32.95556248,32.95556248,32.95556248,32.95556248,32.95556248,32.95556248,32.95556248
"alpha_('Power_node_47', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_47', 'Power', 'Power')",24.73559969,24.73559969,0.0,24.73559969,24.73559969,24.73559969,24.73559969,24.73559969,24.73559969,24.73559969
"alpha_('Power_node_48', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_48', 'Power', 'Power')",30.4131649,30.4131649,0.0,30.4131649,30.4131649,30.4131649,30.4131649,30.4131649,30.4131649,30.4131649
"alpha_('Power_node_49', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
