,0,mean,std,min,max,median,mode,q1,q2,q3
"phi_('Power_node_23', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_24', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_24', 'Power', 'Power')",6.500000000100002,6.500000000100002,0.0,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002
"alpha_('Power_node_25', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_25', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_26', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_26', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_27', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_27', 'Power', 'Power')",6.500000000100002,6.500000000100002,0.0,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002
"alpha_('Power_node_28', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_28', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_29', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_29', 'Power', 'Power')",4.382616987,4.382616987,0.0,4.382616987,4.382616987,4.382616987,4.382616987,4.382616987,4.382616987,4.382616987
"alpha_('Power_node_30', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_30', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_31', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_31', 'Power', 'Power')",6.5000000001,6.5000000001,0.0,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001
"alpha_('Power_node_32', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_32', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_33', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_33', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_34', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_34', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_35', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_35', 'Power', 'Power')",6.5000000001,6.5000000001,0.0,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001
"alpha_('Power_node_36', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_36', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_37', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_37', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_38', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_38', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_39', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_39', 'Power', 'Power')",6.500000000100002,6.500000000100002,0.0,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002
"alpha_('Power_node_40', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_40', 'Power', 'Power')",6.5000000001,6.5000000001,0.0,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001
"alpha_('Power_node_41', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_41', 'Power', 'Power')",6.208486796,6.208486796,0.0,6.208486796,6.208486796,6.208486796,6.208486796,6.208486796,6.208486796,6.208486796
"alpha_('Power_node_42', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_42', 'Power', 'Power')",0.201951604,0.201951604,0.0,0.201951604,0.201951604,0.201951604,0.201951604,0.201951604,0.201951604,0.201951604
"alpha_('Power_node_43', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_43', 'Power', 'Power')",2.773539927,2.773539927,0.0,2.773539927,2.773539927,2.773539927,2.773539927,2.773539927,2.773539927,2.773539927
"alpha_('Power_node_44', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_44', 'Power', 'Power')",4.515513246,4.515513246,0.0,4.515513246,4.515513246,4.515513246,4.515513246,4.515513246,4.515513246,4.515513246
"alpha_('Power_node_45', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_45', 'Power', 'Power')",6.5000000001,6.5000000001,0.0,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001,6.5000000001
"alpha_('Power_node_46', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_46', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_47', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_47', 'Power', 'Power')",6.4000000001,6.4000000001,0.0,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001,6.4000000001
"alpha_('Power_node_48', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_48', 'Power', 'Power')",6.500000000099998,6.500000000099998,0.0,6.500000000099998,6.500000000099998,6.500000000099998,6.500000000099998,6.500000000099998,6.500000000099998,6.500000000099998
"alpha_('Power_node_49', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_49', 'Power', 'Power')",6.500000000100002,6.500000000100002,0.0,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002
"alpha_('Power_node_50', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_50', 'Power', 'Power')",6.500000000100002,6.500000000100002,0.0,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002,6.500000000100002
"alpha_('Water_node_15', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_15', 'Water', 'Water')",10.200000000099998,10.200000000099998,0.0,10.200000000099998,10.200000000099998,10.200000000099998,10.200000000099998,10.200000000099998,10.200000000099998,10.200000000099998
"alpha_('Water_node_16', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_16', 'Water', 'Water')",10.100000000100003,10.100000000100003,0.0,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003
"alpha_('Water_node_17', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_17', 'Water', 'Water')",10.100000000100003,10.100000000100003,0.0,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003
"alpha_('Water_node_18', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_18', 'Water', 'Water')",10.100000000100001,10.100000000100001,0.0,10.100000000100001,10.100000000100001,10.100000000100001,10.100000000100001,10.100000000100001,10.100000000100001,10.100000000100001
"alpha_('Water_node_19', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_19', 'Water', 'Water')",10.200000000100005,10.200000000100005,0.0,10.200000000100005,10.200000000100005,10.200000000100005,10.200000000100005,10.200000000100005,10.200000000100005,10.200000000100005
"alpha_('Water_node_20', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_20', 'Water', 'Water')",7.493,7.493,0.0,7.493,7.493,7.493,7.493,7.493,7.493,7.493
"alpha_('Water_node_21', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_21', 'Water', 'Water')",10.200000000100001,10.200000000100001,0.0,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001
"alpha_('Water_node_22', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_22', 'Water', 'Water')",10.100000000100003,10.100000000100003,0.0,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003
"alpha_('Water_node_23', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_23', 'Water', 'Water')",10.200000000100001,10.200000000100001,0.0,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001
"alpha_('Water_node_24', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_24', 'Water', 'Water')",10.200000000100005,10.200000000100005,0.0,10.200000000100005,10.200000000100005,10.200000000100005,10.200000000100005,10.200000000100005,10.200000000100005,10.200000000100005
"alpha_('Water_node_25', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_25', 'Water', 'Water')",10.200000000100001,10.200000000100001,0.0,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001
"alpha_('Water_node_26', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_26', 'Water', 'Water')",10.200000000100001,10.200000000100001,0.0,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001
"alpha_('Water_node_27', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_27', 'Water', 'Water')",10.100000000100003,10.100000000100003,0.0,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003
"alpha_('Water_node_28', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_28', 'Water', 'Water')",10.100000000100003,10.100000000100003,0.0,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003
"alpha_('Water_node_29', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_29', 'Water', 'Water')",10.100000000100003,10.100000000100003,0.0,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003
"alpha_('Water_node_30', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_30', 'Water', 'Water')",10.10000000010001,10.10000000010001,0.0,10.10000000010001,10.10000000010001,10.10000000010001,10.10000000010001,10.10000000010001,10.10000000010001,10.10000000010001
"alpha_('Water_node_31', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_31', 'Water', 'Water')",10.200000000100001,10.200000000100001,0.0,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001,10.200000000100001
"alpha_('Water_node_32', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_32', 'Water', 'Water')",10.100000000100001,10.100000000100001,0.0,10.100000000100001,10.100000000100001,10.100000000100001,10.100000000100001,10.100000000100001,10.100000000100001,10.100000000100001
"alpha_('Water_node_33', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_33', 'Water', 'Water')",10.100000000100003,10.100000000100003,0.0,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003,10.100000000100003
"alpha_('Water_node_34', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_34', 'Water', 'Water')",10.100000000099996,10.100000000099996,0.0,10.100000000099996,10.100000000099996,10.100000000099996,10.100000000099996,10.100000000099996,10.100000000099996,10.100000000099996
"alpha_('Water_node_35', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_35', 'Water', 'Water')",10.17127476809997,10.17127476809997,0.0,10.17127476809997,10.17127476809997,10.17127476809997,10.17127476809997,10.17127476809997,10.17127476809997,10.17127476809997
"alpha_('Water_node_36', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_36', 'Water', 'Water')",4.787,4.787,0.0,4.787,4.787,4.787,4.787,4.787,4.787,4.787
"alpha_('Water_node_37', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_37', 'Water', 'Water')",0.503,0.503,0.0,0.503,0.503,0.503,0.503,0.503,0.503,0.503
"alpha_('Water_node_38', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_38', 'Water', 'Water')",7.5000000001,7.5000000001,0.0,7.5000000001,7.5000000001,7.5000000001,7.5000000001,7.5000000001,7.5000000001,7.5000000001
"alpha_('Water_node_39', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_39', 'Water', 'Water')",7.413016249899998,7.413016249899998,0.0,7.413016249899998,7.413016249899998,7.413016249899998,7.413016249899998,7.413016249899998,7.413016249899998,7.413016249899998
"alpha_('Water_node_40', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_40', 'Water', 'Water')",1.483,1.483,0.0,1.483,1.483,1.483,1.483,1.483,1.483,1.483
"alpha_('Water_node_41', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_41', 'Water', 'Water')",4.046,4.046,0.0,4.046,4.046,4.046,4.046,4.046,4.046,4.046
"alpha_('Water_node_42', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_42', 'Water', 'Water')",2.958,2.958,0.0,2.958,2.958,2.958,2.958,2.958,2.958,2.958
"alpha_('Water_node_43', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_43', 'Water', 'Water')",4.09770898,4.09770898,0.0,4.09770898,4.09770898,4.09770898,4.09770898,4.09770898,4.09770898,4.09770898
"alpha_('Water_node_44', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_44', 'Water', 'Water')",0.422,0.422,0.0,0.422,0.422,0.422,0.422,0.422,0.422,0.422
"alpha_('Water_node_45', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_45', 'Water', 'Water')",1.738,1.738,0.0,1.738,1.738,1.738,1.738,1.738,1.738,1.738
"alpha_('Water_node_46', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_46', 'Water', 'Water')",0.985,0.985,0.0,0.985,0.985,0.985,0.985,0.985,0.985,0.985
"alpha_('Water_node_47', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_47', 'Water', 'Water')",1.408,1.408,0.0,1.408,1.408,1.408,1.408,1.408,1.408,1.408
"alpha_('Water_node_48', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_48', 'Water', 'Water')",2.295,2.295,0.0,2.295,2.295,2.295,2.295,2.295,2.295,2.295
"log_phi_('Gas_node_3', 'Gas', 'Gas')",3.289353137029797,3.289353137029797,0.0,3.289353137029797,3.289353137029797,3.289353137029797,3.289353137029797,3.289353137029797,3.289353137029797,3.289353137029797
"log_phi_('Gas_node_4', 'Gas', 'Gas')",3.1223649244917624,3.1223649244917624,0.0,3.1223649244917624,3.1223649244917624,3.1223649244917624,3.1223649244917624,3.1223649244917624,3.1223649244917624,3.1223649244917624
